thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
5443B2FAF690,3,92203,-8,thermo_5443b2-faf690-yPwW5h.csv
80646FFDE00C,2,98312,-8,thermo_80646f-fde00c-dvnG9i.csv
5443B2FB2CA8,2,10001,-8,thermo_5443b2-fb2ca8-0PFK5y.csv
80646FFD71FC,2,98107,-8,thermo_80646f-fd71fc-U5T53k.csv
80646FFDE440,2,98029,-8,thermo_80646f-fde440-4Pk3zu.csv
80646FFD50B8,2,92084,-8,thermo_80646f-fd50b8-eMVm4x.csv
10061CF2BC10,2,98006,-8,thermo_10061c-f2bc10-NbmcnZ.csv
80646FFD5A2C,2,97086,-8,thermo_80646f-fd5a2c-Cc7ae6.csv
30C922A3D11C,3,97702,-8,thermo_30c922-a3d11c-hkcSkG.csv
80646FFD77FC,2,98125,-8,thermo_80646f-fd77fc-ggqgFy.csv
A842E3B0767C,3,97333,-8,thermo_a842e3-b0767c-QcFYbb.csv
80646FFD6D58,2,95122,-8,thermo_80646f-fd6d58-VFMAxN.csv
24DCC39FEFAC,1,98188,-8,thermo_24dcc3-9fefac-hAQdI9.csv
80646FFDE574,2,91042,-8,thermo_80646f-fde574-qmLWKQ.csv
24DCC3AFD460,3,90638,-8,thermo_24dcc3-afd460-bPtFsg.csv
80646FFD7A70,2,94521,-8,thermo_80646f-fd7a70-ipTTIz.csv
80646FFD81A8,2,94114,-8,thermo_80646f-fd81a8-Z6xIKf.csv
B0A7322CD9D0,4,98052,-8,thermo_b0a732-2cd9d0-tN7Mft.csv
80646FFD7860,2,95129,-8,thermo_80646f-fd7860-1YBv1b.csv
08D1F9802F7C,2,98002,-8,thermo_08d1f9-802f7c-ReR8UJ.csv
80646FFD82A0,2,98275,-8,thermo_80646f-fd82a0-UOAPQr.csv
80646FFDDD7C,2,98115,-8,thermo_80646f-fddd7c-zTmreD.csv
08D1F980B88C,2,92376,-8,thermo_08d1f9-80b88c-MdWikV.csv
5443B2FB1D0C,3,97214,-8,thermo_5443b2-fb1d0c-gem5tD.csv
80646FFD7400,2,97031,-8,thermo_80646f-fd7400-LnPLZy.csv
A0A3B30A4D5C,2,97211,-8,thermo_a0a3b3-0a4d5c-e9T9si.csv
80646FFDD964,2,97211,-8,thermo_80646f-fdd964-1AXGxn.csv
A0DD6C0094A0,2,98004,-8,thermo_a0dd6c-0094a0-FnJz3D.csv
5443B2F9B2CC,2,92115,-8,thermo_5443b2-f9b2cc-0e7ZD0.csv
A842E3B078F0,3,95677,-8,thermo_a842e3-b078f0-dHufqg.csv
A0A3B30A1B80,2,98033,-8,thermo_a0a3b3-0a1b80-nPoYoa.csv
80646FFD58E8,2,97211,-8,thermo_80646f-fd58e8-epnmFO.csv
5443B2FAF7C0,3,92220,-8,thermo_5443b2-faf7c0-vxdj6i.csv
B0A732C45DB4,2,90221,-8,thermo_b0a732-c45db4-8i0jLA.csv
24DCC3B03980,2,91913,-8,thermo_24dcc3-b03980-F6B9xW.csv
80646FFDD9F8,2,92883,-8,thermo_80646f-fdd9f8-vbDtsp.csv
30C922A3E204,3,92071,-8,thermo_30c922-a3e204-z9ggLI.csv
B0A732C53298,3,95928,-8,thermo_b0a732-c53298-L10OpQ.csv
